LASTNAME,HIRE_DATE
Russell,1996-10-01
Partners,1997-01-05
Errazuriz,1997-04-10
Cambrault,1999-10-15
Tucker,1997-01-30
Bernstein,1997-04-24
Hall,1997-08-20
Olsen,1998-04-30
Cambrault,1998-12-09
Tuvault,1999-11-23
King,1996-01-30
Sully,1996-04-04
McEwen,1996-08-01
Smith,1997-04-10
Doran,1997-12-15
Sewall,1998-11-03
Vishney,1997-11-11
Greene,1999-04-19
Marvins,2000-01-24
Lee,2000-02-23
Ande,2000-04-24
Banda,2000-04-21
Ozer,1997-04-11
Bloom,1998-04-23
Fox,1998-01-24
Smith,1999-02-23
Bates,1999-04-24
Kumar,2000-04-21
Abel,1996-05-11
Hutton,1997-04-19
Taylor,1998-04-24
Livingston,1998-04-23
Johnson,2000-01-04
