EMPLOYEE_ID,LASTNAME,SALARY
103,Hunold,9000.00
108,Greenberg,12000.00
109,Faviet,9000.00
110,Chen,8200.00
111,Sciarra,7700.00
112,Urman,7800.00
113,Popp,6900.00
114,Raphaely,11000.00
120,Weiss,8000.00
121,Fripp,8200.00
122,Kaufling,7900.00
123,Vollman,6500.00
145,Russell,14000.00
146,Partners,13500.00
147,Errazuriz,12000.00
148,Cambrault,11000.00
149,Zlotkey,10500.00
150,Tucker,10000.00
151,Bernstein,9500.00
152,Hall,9000.00
153,Olsen,8000.00
154,Cambrault,7500.00
155,Tuvault,7000.00
156,King,10000.00
157,Sully,9500.00
158,McEwen,9000.00
159,Smith,8000.00
160,Doran,7500.00
161,Sewall,7000.00
162,Vishney,10500.00
163,Greene,9500.00
164,Marvins,7200.00
165,Lee,6800.00
168,Ozer,11500.00
169,Bloom,10000.00
170,Fox,9600.00
171,Smith,7400.00
172,Bates,7300.00
174,Abel,11000.00
175,Hutton,8800.00
176,Taylor,8600.00
177,Livingston,8400.00
