EMPLOYEE_ID,FIRSTNAME,LASTNAME,SALARY
132,TJ,Olson,2100.00
128,Steven,Markle,2200.00
136,Hazel,Philtanker,2200.00
135,Ki,Gee,2400.00
127,James,Landry,2400.00
119,Karen,Colmenares,2500.00
140,Joshua,Patel,2500.00
131,James,Marlow,2500.00
144,Peter,Vargas,2500.00
182,Martha,Sullivan,2500.00
191,Randall,Perkins,2500.00
198,Donald,OConnell,2600.00
199,Douglas,Grant,2600.00
143,Randall,Matos,2600.00
118,Guy,Himuro,2600.00
126,Irene,Mikkilineni,2700.00
139,John,Seo,2700.00
130,Mozhe,Atkinson,2800.00
117,Sigal,Tobias,2800.00
195,Vance,Jones,2800.00
183,Girard,Geoni,2800.00
190,Timothy,Gates,2900.00
116,Shelli,Baida,2900.00
134,Michael,Rogers,2900.00
197,Kevin,Feeney,3000.00
187,Anthony,Cabrio,3000.00
181,Jean,Fleaur,3100.00
196,Alana,Walsh,3100.00
142,Curtis,Davies,3100.00
115,Alexander,Khoo,3100.00
125,Julia,Nayer,3200.00
138,Stephen,Stiles,3200.00
194,Samuel,McCain,3200.00
180,Winston,Taylor,3200.00
129,Laura,Bissot,3300.00
133,Jason,Mallin,3300.00
186,Julia,Dellinger,3400.00
141,Trenna,Rajs,3500.00
137,Renske,Ladwig,3600.00
189,Jennifer,Dilly,3600.00
188,Kelly,Chung,3800.00
193,Britney,Everett,3900.00
192,Sarah,Bell,4000.00
185,Alexis,Bull,4100.00
184,Nandita,Sarchand,4200.00
107,Diana,Lorentz,4200.00
200,Jennifer,Whalen,4400.00
105,David,Austin,4800.00
106,Valli,Pataballa,4800.00
124,Kevin,Mourgos,5800.00
104,Bruce,Ernst,6000.00
202,Pat,Fay,6000.00
173,Sundita,Kumar,6100.00
179,Charles,Johnson,6200.00
167,Amit,Banda,6200.00
166,Sundar,Ande,6400.00
203,Susan,Mavris,6500.00
123,Shanta,Vollman,6500.00
165,David,Lee,6800.00
113,Luis,Popp,6900.00
155,Oliver,Tuvault,7000.00
161,Sarath,Sewall,7000.00
178,Kimberely,Grant,7000.00
164,Mattea,Marvins,7200.00
172,Elizabeth,Bates,7300.00
171,William,Smith,7400.00
160,Louise,Doran,7500.00
154,Nanette,Cambrault,7500.00
111,Ismael,Sciarra,7700.00
112,Jose Manuel,Urman,7800.00
122,Payam,Kaufling,7900.00
120,Matthew,Weiss,8000.00
153,Christopher,Olsen,8000.00
159,Lindsey,Smith,8000.00
121,Adam,Fripp,8200.00
110,John,Chen,8200.00
206,William,Gietz,8300.00
177,Jack,Livingston,8400.00
176,Jonathon,Taylor,8600.00
175,Alyssa,Hutton,8800.00
109,Daniel,Faviet,9000.00
103,Alexander,Hunold,9000.00
158,Allan,McEwen,9000.00
152,Peter,Hall,9000.00
151,David,Bernstein,9500.00
157,Patrick,Sully,9500.00
163,Danielle,Greene,9500.00
170,Tayler,Fox,9600.00
169,Harrison,Bloom,10000.00
204,Hermann,Baer,10000.00
150,Peter,Tucker,10000.00
156,Janette,King,10000.00
149,Eleni,Zlotkey,10500.00
162,Clara,Vishney,10500.00
148,Gerald,Cambrault,11000.00
114,Den,Raphaely,11000.00
174,Ellen,Abel,11000.00
168,Lisa,Ozer,11500.00
205,Shelley,Higgins,12000.00
108,Nancy,Greenberg,12000.00
147,Alberto,Errazuriz,12000.00
201,Michael,Hartstein,13000.00
146,Karen,Partners,13500.00
145,John,Russell,14000.00
101,Neena,Kochhar,17000.00
102,Lex,De Haan,17000.00
100,Steven,King,24000.00
