LASTNAME,DEPARTMENT_NAME,LOCATION_ID,CITY
Russell,Sales,2500,Oxford
Partners,Sales,2500,Oxford
Errazuriz,Sales,2500,Oxford
Cambrault,Sales,2500,Oxford
Zlotkey,Sales,2500,Oxford
Tucker,Sales,2500,Oxford
Bernstein,Sales,2500,Oxford
Hall,Sales,2500,Oxford
Olsen,Sales,2500,Oxford
Cambrault,Sales,2500,Oxford
Tuvault,Sales,2500,Oxford
King,Sales,2500,Oxford
Sully,Sales,2500,Oxford
McEwen,Sales,2500,Oxford
Smith,Sales,2500,Oxford
Doran,Sales,2500,Oxford
Sewall,Sales,2500,Oxford
Vishney,Sales,2500,Oxford
Greene,Sales,2500,Oxford
Marvins,Sales,2500,Oxford
Lee,Sales,2500,Oxford
Ande,Sales,2500,Oxford
Banda,Sales,2500,Oxford
Ozer,Sales,2500,Oxford
Bloom,Sales,2500,Oxford
Fox,Sales,2500,Oxford
Smith,Sales,2500,Oxford
Bates,Sales,2500,Oxford
Kumar,Sales,2500,Oxford
Abel,Sales,2500,Oxford
Hutton,Sales,2500,Oxford
Taylor,Sales,2500,Oxford
Livingston,Sales,2500,Oxford
Johnson,Sales,2500,Oxford
