FIRSTNAME,LASTNAME,MONTHLY SALARY
Steven,King,2000.00
Neena,Kochhar,1416.67
Lex,De Haan,1416.67
Alexander,Hunold,750.00
Bruce,Ernst,500.00
David,Austin,400.00
Valli,Pataballa,400.00
Diana,Lorentz,350.00
Nancy,Greenberg,1000.00
Daniel,Faviet,750.00
John,Chen,683.33
Ismael,Sciarra,641.67
Jose Manuel,Urman,650.00
Luis,Popp,575.00
Den,Raphaely,916.67
Alexander,Khoo,258.33
Shelli,Baida,241.67
Sigal,Tobias,233.33
Guy,Himuro,216.67
Karen,Colmenares,208.33
Matthew,Weiss,666.67
Adam,Fripp,683.33
Payam,Kaufling,658.33
Shanta,Vollman,541.67
Kevin,Mourgos,483.33
Julia,Nayer,266.67
Irene,Mikkilineni,225.00
James,Landry,200.00
Steven,Markle,183.33
Laura,Bissot,275.00
Mozhe,Atkinson,233.33
James,Marlow,208.33
TJ,Olson,175.00
Jason,Mallin,275.00
Michael,Rogers,241.67
Ki,Gee,200.00
Hazel,Philtanker,183.33
Renske,Ladwig,300.00
Stephen,Stiles,266.67
John,Seo,225.00
Joshua,Patel,208.33
Trenna,Rajs,291.67
Curtis,Davies,258.33
Randall,Matos,216.67
Peter,Vargas,208.33
John,Russell,1166.67
Karen,Partners,1125.00
Alberto,Errazuriz,1000.00
Gerald,Cambrault,916.67
Eleni,Zlotkey,875.00
Peter,Tucker,833.33
David,Bernstein,791.67
Peter,Hall,750.00
Christopher,Olsen,666.67
Nanette,Cambrault,625.00
Oliver,Tuvault,583.33
Janette,King,833.33
Patrick,Sully,791.67
Allan,McEwen,750.00
Lindsey,Smith,666.67
Louise,Doran,625.00
Sarath,Sewall,583.33
Clara,Vishney,875.00
Danielle,Greene,791.67
Mattea,Marvins,600.00
David,Lee,566.67
Sundar,Ande,533.33
Amit,Banda,516.67
Lisa,Ozer,958.33
Harrison,Bloom,833.33
Tayler,Fox,800.00
William,Smith,616.67
Elizabeth,Bates,608.33
Sundita,Kumar,508.33
Ellen,Abel,916.67
Alyssa,Hutton,733.33
Jonathon,Taylor,716.67
Jack,Livingston,700.00
Kimberely,Grant,583.33
Charles,Johnson,516.67
Winston,Taylor,266.67
Jean,Fleaur,258.33
Martha,Sullivan,208.33
Girard,Geoni,233.33
Nandita,Sarchand,350.00
Alexis,Bull,341.67
Julia,Dellinger,283.33
Anthony,Cabrio,250.00
Kelly,Chung,316.67
Jennifer,Dilly,300.00
Timothy,Gates,241.67
Randall,Perkins,208.33
Sarah,Bell,333.33
Britney,Everett,325.00
Samuel,McCain,266.67
Vance,Jones,233.33
Alana,Walsh,258.33
Kevin,Feeney,250.00
Donald,OConnell,216.67
Douglas,Grant,216.67
Jennifer,Whalen,366.67
Michael,Hartstein,1083.33
Pat,Fay,500.00
Susan,Mavris,541.67
Hermann,Baer,833.33
Shelley,Higgins,1000.00
William,Gietz,691.67
