LASTNAME,JOB_ID,SALARY
Hunold,IT_PROG,9000.00
Ernst,IT_PROG,6000.00
Austin,IT_PROG,4800.00
Pataballa,IT_PROG,4800.00
Lorentz,IT_PROG,4200.00
Taylor,SH_CLERK,3200.00
Fleaur,SH_CLERK,3100.00
Sullivan,SH_CLERK,2500.00
Geoni,SH_CLERK,2800.00
Sarchand,SH_CLERK,4200.00
Bull,SH_CLERK,4100.00
Dellinger,SH_CLERK,3400.00
Cabrio,SH_CLERK,3000.00
Chung,SH_CLERK,3800.00
Dilly,SH_CLERK,3600.00
Gates,SH_CLERK,2900.00
Perkins,SH_CLERK,2500.00
Bell,SH_CLERK,4000.00
Everett,SH_CLERK,3900.00
McCain,SH_CLERK,3200.00
Jones,SH_CLERK,2800.00
Walsh,SH_CLERK,3100.00
Feeney,SH_CLERK,3000.00
OConnell,SH_CLERK,2600.00
Grant,SH_CLERK,2600.00
