LASTNAME,DEPARTMENT_NAME
Kochhar,Executive
De Haan,Executive
Austin,IT
Pataballa,IT
Faviet,Finance
Sciarra,Finance
Urman,Finance
Raphaely,Purchasing
Baida,Purchasing
Tobias,Purchasing
Colmenares,Purchasing
Kaufling,Shipping
Vollman,Shipping
Nayer,Shipping
Landry,Shipping
Markle,Shipping
Atkinson,Shipping
Marlow,Shipping
Mallin,Shipping
Philtanker,Shipping
Ladwig,Shipping
Patel,Shipping
Rajs,Shipping
Davies,Shipping
Matos,Shipping
Vargas,Shipping
Partners,Sales
Errazuriz,Sales
Cambrault,Sales
Hall,Sales
Cambrault,Sales
Tuvault,Sales
Doran,Sales
Sewall,Sales
Marvins,Sales
Ande,Sales
Banda,Sales
Bates,Sales
Kumar,Sales
Abel,Sales
Taylor,Sales
Taylor,Shipping
Fleaur,Shipping
Sullivan,Shipping
Sarchand,Shipping
Cabrio,Shipping
Gates,Shipping
McCain,Shipping
Walsh,Shipping
Grant,Shipping
Whalen,Administration
Hartstein,Marketing
Fay,Marketing
Mavris,Human Resources
Baer,Public Relations
