FIRSTNAME,LASTNAME,SALARY,PF
Steven,King,24000.00,3600.000000
Neena,Kochhar,17000.00,2550.000000
Lex,De Haan,17000.00,2550.000000
Alexander,Hunold,9000.00,1350.000000
Bruce,Ernst,6000.00,900.000000
David,Austin,4800.00,720.000000
Valli,Pataballa,4800.00,720.000000
Diana,Lorentz,4200.00,630.000000
Nancy,Greenberg,12000.00,1800.000000
Daniel,Faviet,9000.00,1350.000000
John,Chen,8200.00,1230.000000
Ismael,Sciarra,7700.00,1155.000000
Jose Manuel,Urman,7800.00,1170.000000
Luis,Popp,6900.00,1035.000000
Den,Raphaely,11000.00,1650.000000
Alexander,Khoo,3100.00,465.000000
Shelli,Baida,2900.00,435.000000
Sigal,Tobias,2800.00,420.000000
Guy,Himuro,2600.00,390.000000
Karen,Colmenares,2500.00,375.000000
Matthew,Weiss,8000.00,1200.000000
Adam,Fripp,8200.00,1230.000000
Payam,Kaufling,7900.00,1185.000000
Shanta,Vollman,6500.00,975.000000
Kevin,Mourgos,5800.00,870.000000
Julia,Nayer,3200.00,480.000000
Irene,Mikkilineni,2700.00,405.000000
James,Landry,2400.00,360.000000
Steven,Markle,2200.00,330.000000
Laura,Bissot,3300.00,495.000000
Mozhe,Atkinson,2800.00,420.000000
James,Marlow,2500.00,375.000000
TJ,Olson,2100.00,315.000000
Jason,Mallin,3300.00,495.000000
Michael,Rogers,2900.00,435.000000
Ki,Gee,2400.00,360.000000
Hazel,Philtanker,2200.00,330.000000
Renske,Ladwig,3600.00,540.000000
Stephen,Stiles,3200.00,480.000000
John,Seo,2700.00,405.000000
Joshua,Patel,2500.00,375.000000
Trenna,Rajs,3500.00,525.000000
Curtis,Davies,3100.00,465.000000
Randall,Matos,2600.00,390.000000
Peter,Vargas,2500.00,375.000000
John,Russell,14000.00,2100.000000
Karen,Partners,13500.00,2025.000000
Alberto,Errazuriz,12000.00,1800.000000
Gerald,Cambrault,11000.00,1650.000000
Eleni,Zlotkey,10500.00,1575.000000
Peter,Tucker,10000.00,1500.000000
David,Bernstein,9500.00,1425.000000
Peter,Hall,9000.00,1350.000000
Christopher,Olsen,8000.00,1200.000000
Nanette,Cambrault,7500.00,1125.000000
Oliver,Tuvault,7000.00,1050.000000
Janette,King,10000.00,1500.000000
Patrick,Sully,9500.00,1425.000000
Allan,McEwen,9000.00,1350.000000
Lindsey,Smith,8000.00,1200.000000
Louise,Doran,7500.00,1125.000000
Sarath,Sewall,7000.00,1050.000000
Clara,Vishney,10500.00,1575.000000
Danielle,Greene,9500.00,1425.000000
Mattea,Marvins,7200.00,1080.000000
David,Lee,6800.00,1020.000000
Sundar,Ande,6400.00,960.000000
Amit,Banda,6200.00,930.000000
Lisa,Ozer,11500.00,1725.000000
Harrison,Bloom,10000.00,1500.000000
Tayler,Fox,9600.00,1440.000000
William,Smith,7400.00,1110.000000
Elizabeth,Bates,7300.00,1095.000000
Sundita,Kumar,6100.00,915.000000
Ellen,Abel,11000.00,1650.000000
Alyssa,Hutton,8800.00,1320.000000
Jonathon,Taylor,8600.00,1290.000000
Jack,Livingston,8400.00,1260.000000
Kimberely,Grant,7000.00,1050.000000
Charles,Johnson,6200.00,930.000000
Winston,Taylor,3200.00,480.000000
Jean,Fleaur,3100.00,465.000000
Martha,Sullivan,2500.00,375.000000
Girard,Geoni,2800.00,420.000000
Nandita,Sarchand,4200.00,630.000000
Alexis,Bull,4100.00,615.000000
Julia,Dellinger,3400.00,510.000000
Anthony,Cabrio,3000.00,450.000000
Kelly,Chung,3800.00,570.000000
Jennifer,Dilly,3600.00,540.000000
Timothy,Gates,2900.00,435.000000
Randall,Perkins,2500.00,375.000000
Sarah,Bell,4000.00,600.000000
Britney,Everett,3900.00,585.000000
Samuel,McCain,3200.00,480.000000
Vance,Jones,2800.00,420.000000
Alana,Walsh,3100.00,465.000000
Kevin,Feeney,3000.00,450.000000
Donald,OConnell,2600.00,390.000000
Douglas,Grant,2600.00,390.000000
Jennifer,Whalen,4400.00,660.000000
Michael,Hartstein,13000.00,1950.000000
Pat,Fay,6000.00,900.000000
Susan,Mavris,6500.00,975.000000
Hermann,Baer,10000.00,1500.000000
Shelley,Higgins,12000.00,1800.000000
William,Gietz,8300.00,1245.000000
