FIRSTNAME,LASTNAME,JOB_ID,SALARY
Jennifer,Whalen,AD_ASST,4400.00
David,Austin,IT_PROG,4800.00
Valli,Pataballa,IT_PROG,4800.00
Kevin,Mourgos,ST_MAN,5800.00
Bruce,Ernst,IT_PROG,6000.00
Pat,Fay,MK_REP,6000.00
Sundita,Kumar,SA_REP,6100.00
Amit,Banda,SA_REP,6200.00
Charles,Johnson,SA_REP,6200.00
Sundar,Ande,SA_REP,6400.00
Susan,Mavris,HR_REP,6500.00
Shanta,Vollman,ST_MAN,6500.00
David,Lee,SA_REP,6800.00
Luis,Popp,FI_ACCOUNT,6900.00
Oliver,Tuvault,SA_REP,7000.00
Sarath,Sewall,SA_REP,7000.00
Kimberely,Grant,SA_REP,7000.00
Mattea,Marvins,SA_REP,7200.00
Elizabeth,Bates,SA_REP,7300.00
William,Smith,SA_REP,7400.00
Louise,Doran,SA_REP,7500.00
Nanette,Cambrault,SA_REP,7500.00
Ismael,Sciarra,FI_ACCOUNT,7700.00
Jose Manuel,Urman,FI_ACCOUNT,7800.00
Payam,Kaufling,ST_MAN,7900.00
Matthew,Weiss,ST_MAN,8000.00
Christopher,Olsen,SA_REP,8000.00
Lindsey,Smith,SA_REP,8000.00
Adam,Fripp,ST_MAN,8200.00
John,Chen,FI_ACCOUNT,8200.00
William,Gietz,AC_ACCOUNT,8300.00
Jack,Livingston,SA_REP,8400.00
Jonathon,Taylor,SA_REP,8600.00
Alyssa,Hutton,SA_REP,8800.00
Daniel,Faviet,FI_ACCOUNT,9000.00
Alexander,Hunold,IT_PROG,9000.00
Peter,Hall,SA_REP,9000.00
Allan,McEwen,SA_REP,9000.00
Patrick,Sully,SA_REP,9500.00
David,Bernstein,SA_REP,9500.00
Danielle,Greene,SA_REP,9500.00
Tayler,Fox,SA_REP,9600.00
Harrison,Bloom,SA_REP,10000.00
Hermann,Baer,PR_REP,10000.00
Janette,King,SA_REP,10000.00
Peter,Tucker,SA_REP,10000.00
Eleni,Zlotkey,SA_MAN,10500.00
Clara,Vishney,SA_REP,10500.00
Ellen,Abel,SA_REP,11000.00
Gerald,Cambrault,SA_MAN,11000.00
Den,Raphaely,PU_MAN,11000.00
Lisa,Ozer,SA_REP,11500.00
Shelley,Higgins,AC_MGR,12000.00
Nancy,Greenberg,FI_MGR,12000.00
Alberto,Errazuriz,SA_MAN,12000.00
Michael,Hartstein,MK_MAN,13000.00
Karen,Partners,SA_MAN,13500.00
John,Russell,SA_MAN,14000.00
Neena,Kochhar,AD_VP,17000.00
Lex,De Haan,AD_VP,17000.00
Steven,King,AD_PRES,24000.00
