firstname,lastname,hire_date
Luis,Popp,1999-12-07
Karen,Colmenares,1999-08-10
Kevin,Mourgos,1999-11-16
Steven,Markle,2000-04-08
Ki,Gee,1999-12-12
Hazel,Philtanker,2000-02-06
Gerald,Cambrault,1999-10-15
Eleni,Zlotkey,2000-01-29
Oliver,Tuvault,1999-11-23
Danielle,Greene,1999-04-19
Mattea,Marvins,2000-01-24
David,Lee,2000-02-23
Sundar,Ande,2000-04-24
Amit,Banda,2000-04-21
Elizabeth,Bates,1999-04-24
Sundita,Kumar,2000-04-21
Kimberely,Grant,1999-05-24
Charles,Johnson,2000-01-04
Martha,Sullivan,1999-06-21
Girard,Geoni,2000-02-03
Randall,Perkins,1999-12-19
Donald,OConnell,1999-06-21
Douglas,Grant,2000-01-13
